"-0.998, 1.5, 5.0, 0.0, 0.0","-0.998, 1.5, 5.0, 0.0, 30.0","-0.998, 1.5, 5.0, 50.0, 0.0","-0.998, 1.5, 5.0, 50.0, 30.0","-0.998, 1.5, 85.0, 0.0, 0.0","-0.998, 1.5, 85.0, 0.0, 30.0","-0.998, 1.5, 85.0, 50.0, 0.0","-0.998, 1.5, 85.0, 50.0, 30.0","-0.998, 30.0, 5.0, 0.0, 0.0","-0.998, 30.0, 5.0, 0.0, 30.0","-0.998, 30.0, 5.0, 50.0, 0.0","-0.998, 30.0, 5.0, 50.0, 30.0","-0.998, 30.0, 85.0, 0.0, 0.0","-0.998, 30.0, 85.0, 0.0, 30.0","-0.998, 30.0, 85.0, 50.0, 0.0","-0.998, 30.0, 85.0, 50.0, 30.0","0.998, 1.5, 5.0, 0.0, 0.0","0.998, 1.5, 5.0, 0.0, 30.0","0.998, 1.5, 5.0, 50.0, 0.0","0.998, 1.5, 5.0, 50.0, 30.0","0.998, 1.5, 85.0, 0.0, 0.0","0.998, 1.5, 85.0, 0.0, 30.0","0.998, 1.5, 85.0, 50.0, 0.0","0.998, 1.5, 85.0, 50.0, 30.0","0.998, 30.0, 5.0, 0.0, 0.0","0.998, 30.0, 5.0, 0.0, 30.0","0.998, 30.0, 5.0, 50.0, 0.0","0.998, 30.0, 5.0, 50.0, 30.0","0.998, 30.0, 85.0, 0.0, 0.0","0.998, 30.0, 85.0, 0.0, 30.0","0.998, 30.0, 85.0, 50.0, 0.0","0.998, 30.0, 85.0, 50.0, 30.0"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016612555502687099,0.0,0.0,0.0,5.6314734801987685e-5,0.0,0.0,0.0,9.851541483787703e-7,0.0,0.0,0.0,2.8744311382436825e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016694944140415895,0.0,0.0,0.0,5.695622993964453e-5,0.0,0.0,0.0,1.0002512661861933e-6,0.0,0.0,0.0,2.9429475720829055e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016798117338216996,0.0,0.0,0.0,5.7491945618085675e-5,0.0,0.0,0.0,1.0167431351367416e-6,0.0,0.0,0.0,2.985428868016383e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016876944412958727,0.0,0.0,0.0,5.8033046651266534e-5,0.0,0.0,0.0,1.0322411213072536e-6,0.0,0.0,0.0,3.0289576253308558e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017126835353817587,0.0,0.0,0.0,5.858590311490203e-5,0.0,0.0,0.0,1.0609550366996478e-6,0.0,0.0,0.0,3.075246929607688e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017117240678546767,0.0,0.0,0.0,5.914462504890823e-5,0.0,0.0,0.0,1.0719328315875415e-6,0.0,0.0,0.0,3.1228684187733773e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017142456090342537,0.0,0.0,0.0,5.970752449932955e-5,0.0,0.0,0.0,1.085539543621935e-6,0.0,0.0,0.0,3.171429315760421e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017181276145157652,0.0,0.0,0.0,6.0273854513819794e-5,0.0,0.0,0.0,1.1003016706141607e-6,0.0,0.0,0.0,3.2207769950548715e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017225616722692536,0.0,0.0,0.0,6.0843146743912696e-5,0.0,0.0,0.0,1.115644904760409e-6,0.0,0.0,0.0,3.270883636242761e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017273059797293141,0.0,0.0,0.0,6.141500693790737e-5,0.0,0.0,0.0,1.1313973006522626e-6,0.0,0.0,0.0,3.321627602167427e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017322682966922315,0.0,0.0,0.0,6.198932742697963e-5,0.0,0.0,0.0,1.14748978989211e-6,0.0,0.0,0.0,3.372921285127702e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001725052878947856,0.0,0.0,0.0,6.257832772334695e-5,0.0,0.0,0.0,1.1566276468003447e-6,0.0,0.0,0.0,3.4284121190943596e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001740344622815703,0.0,0.0,0.0,6.317763307794981e-5,0.0,0.0,0.0,1.179363610066573e-6,0.0,0.0,0.0,3.4869698626379966e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017515597217118751,0.0,0.0,0.0,6.377099973595253e-5,0.0,0.0,0.0,1.2006474686863447e-6,0.0,0.0,0.0,3.5437334714140695e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001760224251624452,0.0,0.0,0.0,6.436397107482353e-5,0.0,0.0,0.0,1.220325076835705e-6,0.0,0.0,0.0,3.6003176272318627e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001768260374870935,0.0,0.0,0.0,6.49576995861508e-5,0.0,0.0,0.0,1.2397647698290159e-6,0.0,0.0,0.0,3.657009540879021e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017883967878236484,0.0,0.0,0.0,6.555248579066708e-5,0.0,0.0,0.0,1.2694570560100962e-6,0.0,0.0,0.0,3.713966111808228e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017974671509080652,0.0,0.0,0.0,6.614828140339381e-5,0.0,0.0,0.0,1.2903554515381385e-6,0.0,0.0,0.0,3.771204056034192e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018025155161865403,0.0,0.0,0.0,6.674501667998866e-5,0.0,0.0,0.0,1.3080110555858455e-6,0.0,0.0,0.0,3.828590861842068e-6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018100891756866366,0.0,0.0,0.0,6.73423476309033e-5,0.0,0.0,0.0,1.3277863943047184e-6,0.0,0.0,0.0,3.885993998476409e-6,0.0,0.0,0.0
