a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
-0.75, -1.624, -2.211, 2.521, 4.284, 1.743, 1.994, -2.635, -8.045, 0.16, -6.203, -1.0, -16.0
-0.746, -1.65, -2.238, 2.551, 4.338, 1.776, 2.045, -2.65, -8.101, 0.16, -6.172, -1.0, -16.0
-0.742, -1.677, -2.264, 2.58, 4.392, 1.809, 2.096, -2.664, -8.157, 0.16, -6.141, -1.0, -16.0
-0.738, -1.704, -2.291, 2.61, 4.447, 1.842, 2.147, -2.678, -8.212, 0.16, -6.109, -1.0, -16.0
-0.734, -1.73, -2.318, 2.64, 4.501, 1.876, 2.197, -2.692, -8.268, 0.16, -6.078, -1.0, -16.0
-0.73, -1.757, -2.344, 2.669, 4.555, 1.909, 2.248, -2.707, -8.324, 0.16, -6.047, -1.0, -16.0
-0.726, -1.783, -2.371, 2.699, 4.61, 1.942, 2.299, -2.721, -8.38, 0.16, -6.015, -1.0, -16.0
-0.722, -1.81, -2.398, 2.729, 4.664, 1.975, 2.35, -2.735, -8.436, 0.16, -5.984, -1.0, -16.0
-0.718, -1.836, -2.424, 2.758, 4.718, 2.008, 2.401, -2.749, -8.492, 0.16, -5.953, -1.0, -16.0
-0.714, -1.863, -2.451, 2.788, 4.772, 2.042, 2.452, -2.764, -8.548, 0.16, -5.921, -1.0, -16.0
-0.71, -1.889, -2.478, 2.817, 4.827, 2.075, 2.502, -2.778, -8.604, 0.16, -5.89, -1.0, -16.0
-0.706, -1.916, -2.504, 2.847, 4.881, 2.108, 2.553, -2.792, -8.66, 0.16, -5.859, -1.0, -16.0
-0.702, -1.942, -2.531, 2.877, 4.935, 2.141, 2.604, -2.807, -8.716, 0.16, -5.828, -1.0, -16.0
-0.698, -1.969, -2.557, 2.906, 4.989, 2.174, 2.655, -2.821, -8.772, 0.16, -5.796, -1.0, -16.0
-0.694, -1.995, -2.584, 2.936, 5.044, 2.207, 2.706, -2.835, -8.827, 0.16, -5.765, -1.0, -16.0
-0.69, -2.022, -2.611, 2.966, 5.098, 2.241, 2.757, -2.849, -8.883, 0.16, -5.734, -1.0, -16.0
-0.686, -2.049, -2.634, 2.994, 5.152, 2.273, 2.8, -2.865, -8.934, 0.16, -5.707, -1.0, -16.0
-0.682, -2.076, -2.651, 3.02, 5.204, 2.302, 2.825, -2.883, -8.97, 0.16, -5.694, -1.0, -16.0
-0.678, -2.104, -2.667, 3.046, 5.256, 2.332, 2.849, -2.901, -9.006, 0.16, -5.68, -1.0, -16.0
-0.674, -2.132, -2.677, 3.07, 5.307, 2.359, 2.859, -2.922, -9.032, 0.159, -5.677, -1.0, -16.0
-0.67, -2.16, -2.686, 3.094, 5.358, 2.386, 2.864, -2.943, -9.054, 0.159, -5.676, -1.0, -16.0
-0.666, -2.188, -2.694, 3.117, 5.408, 2.412, 2.869, -2.964, -9.076, 0.159, -5.676, -1.0, -16.0
-0.662, -2.217, -2.703, 3.141, 5.459, 2.439, 2.874, -2.985, -9.098, 0.159, -5.676, -1.0, -16.0
-0.658, -2.245, -2.711, 3.164, 5.51, 2.466, 2.879, -3.006, -9.119, 0.158, -5.675, -1.0, -16.0
-0.654, -2.273, -2.72, 3.188, 5.561, 2.492, 2.884, -3.027, -9.141, 0.158, -5.675, -1.0, -16.0
-0.65, -2.301, -2.728, 3.211, 5.611, 2.519, 2.889, -3.048, -9.163, 0.158, -5.675, -1.0, -16.0
-0.646, -2.33, -2.737, 3.234, 5.662, 2.545, 2.895, -3.069, -9.185, 0.158, -5.674, -1.0, -16.0
-0.642, -2.358, -2.745, 3.258, 5.713, 2.572, 2.9, -3.09, -9.207, 0.157, -5.674, -1.0, -16.0
-0.638, -2.386, -2.754, 3.281, 5.763, 2.599, 2.905, -3.111, -9.229, 0.157, -5.674, -1.0, -16.0
-0.634, -2.414, -2.762, 3.305, 5.814, 2.625, 2.91, -3.132, -9.251, 0.157, -5.673, -1.0, -16.0
-0.63, -2.443, -2.771, 3.328, 5.865, 2.652, 2.915, -3.153, -9.273, 0.157, -5.673, -1.0, -16.0
-0.626, -2.471, -2.779, 3.352, 5.916, 2.679, 2.92, -3.175, -9.295, 0.156, -5.673, -1.0, -16.0
-0.622, -2.499, -2.788, 3.375, 5.966, 2.705, 2.925, -3.196, -9.317, 0.156, -5.672, -1.0, -16.0
-0.618, -2.527, -2.796, 3.399, 6.017, 2.732, 2.93, -3.217, -9.339, 0.156, -5.672, -1.0, -16.0
-0.614, -2.556, -2.805, 3.422, 6.068, 2.759, 2.935, -3.238, -9.361, 0.156, -5.671, -1.0, -16.0
-0.61, -2.584, -2.813, 3.445, 6.118, 2.785, 2.94, -3.259, -9.383, 0.155, -5.671, -1.0, -16.0
-0.606, -2.612, -2.822, 3.469, 6.169, 2.812, 2.946, -3.28, -9.404, 0.155, -5.671, -1.0, -16.0
-0.602, -2.64, -2.83, 3.492, 6.22, 2.839, 2.951, -3.301, -9.426, 0.155, -5.67, -1.0, -16.0
-0.598, -2.669, -2.839, 3.516, 6.271, 2.865, 2.956, -3.322, -9.448, 0.155, -5.67, -1.0, -16.0
-0.594, -2.697, -2.847, 3.539, 6.321, 2.892, 2.961, -3.343, -9.47, 0.154, -5.67, -1.0, -16.0
-0.59, -2.725, -2.856, 3.563, 6.372, 2.919, 2.966, -3.364, -9.492, 0.154, -5.669, -1.0, -16.0
-0.586, -2.753, -2.864, 3.586, 6.422, 2.946, 2.971, -3.386, -9.516, 0.154, -5.669, -1.0, -16.0
-0.582, -2.782, -2.873, 3.609, 6.472, 2.973, 2.978, -3.41, -9.547, 0.154, -5.667, -1.0, -16.0
-0.578, -2.811, -2.882, 3.633, 6.521, 3.001, 2.984, -3.435, -9.578, 0.153, -5.665, -1.0, -16.0
-0.574, -2.842, -2.894, 3.655, 6.561, 3.036, 2.999, -3.478, -9.661, 0.154, -5.656, -1.0, -16.0
-0.57, -2.874, -2.907, 3.677, 6.596, 3.074, 3.018, -3.53, -9.768, 0.154, -5.643, -1.0, -16.0
-0.566, -2.906, -2.92, 3.699, 6.632, 3.112, 3.037, -3.582, -9.875, 0.154, -5.63, -1.0, -16.0
-0.562, -2.939, -2.933, 3.721, 6.667, 3.15, 3.055, -3.635, -9.982, 0.154, -5.618, -1.0, -16.0
-0.558, -2.971, -2.946, 3.743, 6.703, 3.188, 3.074, -3.687, -10.089, 0.154, -5.605, -1.0, -16.0
-0.554, -3.003, -2.959, 3.765, 6.738, 3.226, 3.093, -3.739, -10.196, 0.154, -5.592, -1.0, -16.0
-0.55, -3.035, -2.972, 3.787, 6.774, 3.265, 3.111, -3.791, -10.303, 0.154, -5.579, -1.0, -16.0
-0.546, -3.067, -2.985, 3.809, 6.809, 3.303, 3.13, -3.844, -10.411, 0.155, -5.566, -1.0, -16.0
-0.542, -3.1, -2.998, 3.831, 6.845, 3.341, 3.149, -3.896, -10.518, 0.155, -5.553, -1.0, -16.0
-0.538, -3.132, -3.011, 3.853, 6.88, 3.379, 3.167, -3.948, -10.625, 0.155, -5.541, -1.0, -16.0
-0.534, -3.164, -3.024, 3.875, 6.916, 3.417, 3.186, -4.0, -10.732, 0.155, -5.528, -1.0, -16.0
-0.53, -3.196, -3.037, 3.897, 6.951, 3.455, 3.205, -4.052, -10.839, 0.155, -5.515, -1.0, -16.0
-0.526, -3.229, -3.05, 3.919, 6.987, 3.493, 3.223, -4.105, -10.946, 0.155, -5.502, -1.0, -16.0
-0.522, -3.261, -3.063, 3.941, 7.023, 3.531, 3.242, -4.157, -11.054, 0.156, -5.489, -1.0, -16.0
-0.518, -3.293, -3.076, 3.963, 7.058, 3.569, 3.261, -4.209, -11.161, 0.156, -5.476, -1.0, -16.0
-0.514, -3.325, -3.089, 3.985, 7.094, 3.607, 3.28, -4.261, -11.268, 0.156, -5.464, -1.0, -16.0
-0.51, -3.358, -3.102, 4.007, 7.129, 3.645, 3.298, -4.314, -11.375, 0.156, -5.451, -1.0, -16.0
-0.506, -3.39, -3.115, 4.029, 7.165, 3.683, 3.317, -4.366, -11.482, 0.156, -5.438, -1.0, -16.0
-0.502, -3.422, -3.128, 4.051, 7.2, 3.721, 3.336, -4.418, -11.589, 0.156, -5.425, -1.0, -16.0
-0.498, -3.454, -3.141, 4.073, 7.236, 3.76, 3.354, -4.47, -11.696, 0.156, -5.412, -1.0, -16.0
-0.494, -3.487, -3.154, 4.095, 7.271, 3.798, 3.373, -4.522, -11.804, 0.157, -5.399, -1.0, -16.0
-0.49, -3.519, -3.167, 4.117, 7.307, 3.836, 3.392, -4.575, -11.911, 0.157, -5.386, -1.0, -16.0
-0.486, -3.551, -3.18, 4.139, 7.342, 3.874, 3.41, -4.627, -12.018, 0.157, -5.374, -1.0, -16.0
-0.482, -3.583, -3.193, 4.161, 7.378, 3.912, 3.429, -4.679, -12.125, 0.157, -5.361, -1.0, -16.0
-0.478, -3.615, -3.206, 4.183, 7.414, 3.95, 3.448, -4.731, -12.232, 0.157, -5.348, -1.0, -16.0
-0.474, -3.646, -3.215, 4.204, 7.442, 3.992, 3.467, -4.77, -12.312, 0.157, -5.344, -1.0, -16.0
-0.47, -3.676, -3.222, 4.225, 7.467, 4.036, 3.488, -4.8, -12.374, 0.158, -5.345, -1.0, -16.0
-0.466, -3.706, -3.228, 4.246, 7.491, 4.08, 3.508, -4.829, -12.433, 0.158, -5.347, -1.0, -16.0
-0.462, -3.735, -3.231, 4.266, 7.509, 4.128, 3.529, -4.846, -12.468, 0.158, -5.356, -1.0, -16.0
-0.458, -3.764, -3.234, 4.286, 7.527, 4.175, 3.55, -4.863, -12.503, 0.158, -5.366, -1.0, -16.0
-0.454, -3.793, -3.237, 4.306, 7.545, 4.223, 3.571, -4.88, -12.539, 0.159, -5.375, -1.0, -16.0
-0.45, -3.821, -3.241, 4.327, 7.563, 4.271, 3.592, -4.897, -12.574, 0.159, -5.384, -1.0, -16.0
-0.446, -3.85, -3.244, 4.347, 7.581, 4.318, 3.613, -4.915, -12.609, 0.159, -5.394, -1.0, -16.0
-0.442, -3.879, -3.247, 4.367, 7.599, 4.366, 3.634, -4.932, -12.644, 0.16, -5.403, -1.0, -16.0
-0.438, -3.908, -3.25, 4.387, 7.617, 4.413, 3.655, -4.949, -12.68, 0.16, -5.413, -1.0, -16.0
-0.434, -3.937, -3.253, 4.407, 7.635, 4.461, 3.677, -4.966, -12.715, 0.16, -5.422, -1.0, -16.0
-0.43, -3.965, -3.256, 4.427, 7.653, 4.509, 3.698, -4.983, -12.75, 0.16, -5.431, -1.0, -16.0
-0.426, -3.994, -3.259, 4.447, 7.671, 4.556, 3.719, -5.0, -12.786, 0.161, -5.441, -1.0, -16.0
-0.422, -4.023, -3.263, 4.467, 7.689, 4.604, 3.74, -5.017, -12.821, 0.161, -5.45, -1.0, -16.0
-0.418, -4.052, -3.266, 4.488, 7.707, 4.651, 3.761, -5.034, -12.856, 0.161, -5.459, -1.0, -16.0
-0.414, -4.081, -3.269, 4.508, 7.725, 4.699, 3.782, -5.052, -12.892, 0.161, -5.469, -1.0, -16.0
-0.41, -4.109, -3.272, 4.528, 7.743, 4.746, 3.803, -5.069, -12.927, 0.162, -5.478, -1.0, -16.0
-0.406, -4.138, -3.275, 4.548, 7.761, 4.794, 3.824, -5.086, -12.962, 0.162, -5.488, -1.0, -16.0
-0.402, -4.167, -3.278, 4.568, 7.779, 4.842, 3.845, -5.103, -12.997, 0.162, -5.497, -1.0, -16.0
-0.398, -4.196, -3.281, 4.588, 7.797, 4.889, 3.866, -5.12, -13.033, 0.162, -5.506, -1.0, -16.0
-0.394, -4.224, -3.284, 4.608, 7.815, 4.937, 3.887, -5.137, -13.068, 0.163, -5.516, -1.0, -16.0
-0.39, -4.253, -3.288, 4.628, 7.833, 4.984, 3.909, -5.154, -13.103, 0.163, -5.525, -1.0, -16.0
-0.386, -4.282, -3.291, 4.649, 7.851, 5.032, 3.93, -5.172, -13.139, 0.163, -5.534, -1.0, -16.0
-0.382, -4.311, -3.294, 4.669, 7.869, 5.08, 3.951, -5.189, -13.174, 0.164, -5.544, -1.0, -16.0
-0.378, -4.34, -3.297, 4.689, 7.887, 5.127, 3.972, -5.206, -13.209, 0.164, -5.553, -1.0, -16.0
-0.374, -4.368, -3.3, 4.709, 7.905, 5.173, 3.993, -5.224, -13.245, 0.164, -5.563, -1.0, -16.0
-0.37, -4.396, -3.303, 4.73, 7.925, 5.218, 4.013, -5.243, -13.281, 0.164, -5.572, -1.0, -16.0
-0.366, -4.425, -3.306, 4.75, 7.945, 5.262, 4.034, -5.262, -13.316, 0.165, -5.582, -1.0, -16.0
-0.362, -4.45, -3.308, 4.772, 7.972, 5.291, 4.053, -5.291, -13.355, 0.165, -5.592, -1.0, -16.0
-0.358, -4.476, -3.311, 4.794, 8.0, 5.319, 4.073, -5.319, -13.393, 0.166, -5.602, -1.0, -16.0
-0.354, -4.501, -3.313, 4.816, 8.027, 5.348, 4.092, -5.348, -13.431, 0.166, -5.612, -1.0, -16.0
-0.35, -4.527, -3.315, 4.838, 8.055, 5.376, 4.111, -5.376, -13.469, 0.167, -5.622, -1.0, -16.0
-0.346, -4.553, -3.317, 4.86, 8.082, 5.405, 4.13, -5.405, -13.507, 0.167, -5.632, -1.0, -16.0
-0.342, -4.578, -3.32, 4.882, 8.11, 5.433, 4.149, -5.433, -13.545, 0.167, -5.643, -1.0, -16.0
-0.338, -4.604, -3.322, 4.904, 8.137, 5.462, 4.169, -5.462, -13.584, 0.168, -5.653, -1.0, -16.0
-0.334, -4.63, -3.324, 4.926, 8.165, 5.49, 4.188, -5.49, -13.622, 0.168, -5.663, -1.0, -16.0
-0.33, -4.655, -3.327, 4.948, 8.192, 5.519, 4.207, -5.519, -13.66, 0.169, -5.673, -1.0, -16.0
-0.326, -4.681, -3.329, 4.97, 8.22, 5.548, 4.226, -5.548, -13.698, 0.169, -5.683, -1.0, -16.0
-0.322, -4.707, -3.331, 4.992, 8.247, 5.576, 4.245, -5.576, -13.736, 0.17, -5.693, -1.0, -16.0
-0.318, -4.732, -3.334, 5.014, 8.275, 5.605, 4.265, -5.605, -13.774, 0.17, -5.704, -1.0, -16.0
-0.314, -4.758, -3.336, 5.036, 8.302, 5.633, 4.284, -5.633, -13.813, 0.171, -5.714, -1.0, -16.0
-0.31, -4.783, -3.338, 5.058, 8.33, 5.662, 4.303, -5.662, -13.851, 0.171, -5.724, -1.0, -16.0
-0.306, -4.809, -3.34, 5.08, 8.357, 5.69, 4.322, -5.69, -13.889, 0.172, -5.734, -1.0, -16.0
-0.302, -4.835, -3.343, 5.102, 8.385, 5.719, 4.342, -5.719, -13.927, 0.172, -5.744, -1.0, -16.0
-0.298, -4.86, -3.345, 5.124, 8.412, 5.747, 4.361, -5.747, -13.965, 0.172, -5.755, -1.0, -16.0
-0.294, -4.886, -3.347, 5.146, 8.44, 5.776, 4.38, -5.776, -14.003, 0.173, -5.765, -1.0, -16.0
-0.29, -4.912, -3.35, 5.168, 8.468, 5.805, 4.399, -5.805, -14.042, 0.173, -5.775, -1.0, -16.0
-0.286, -4.937, -3.352, 5.19, 8.495, 5.833, 4.418, -5.833, -14.08, 0.174, -5.785, -1.0, -16.0
-0.282, -4.963, -3.354, 5.212, 8.523, 5.862, 4.438, -5.862, -14.118, 0.174, -5.795, -1.0, -16.0
-0.278, -4.988, -3.357, 5.234, 8.55, 5.89, 4.457, -5.89, -14.156, 0.175, -5.805, -1.0, -16.0
-0.274, -5.014, -3.359, 5.256, 8.578, 5.919, 4.476, -5.919, -14.194, 0.175, -5.816, -1.0, -16.0
-0.27, -5.04, -3.361, 5.278, 8.605, 5.947, 4.495, -5.947, -14.232, 0.176, -5.826, -1.0, -16.0
-0.266, -5.065, -3.363, 5.3, 8.633, 5.976, 4.514, -5.976, -14.271, 0.176, -5.836, -1.0, -16.0
-0.262, -5.093, -3.367, 5.309, 8.648, 6.035, 4.561, -5.992, -14.289, 0.177, -5.836, -1.0, -16.0
-0.258, -5.121, -3.371, 5.318, 8.662, 6.097, 4.61, -6.007, -14.306, 0.177, -5.836, -1.0, -16.0
-0.254, -5.149, -3.375, 5.324, 8.673, 6.164, 4.664, -6.019, -14.318, 0.178, -5.833, -1.0, -16.0
-0.25, -5.178, -3.38, 5.326, 8.681, 6.24, 4.726, -6.028, -14.325, 0.178, -5.828, -1.0, -16.0
-0.246, -5.207, -3.384, 5.329, 8.69, 6.317, 4.788, -6.037, -14.332, 0.178, -5.823, -1.0, -16.0
-0.242, -5.235, -3.389, 5.331, 8.698, 6.393, 4.85, -6.046, -14.339, 0.179, -5.818, -1.0, -16.0
-0.238, -5.264, -3.393, 5.334, 8.706, 6.469, 4.912, -6.055, -14.347, 0.179, -5.813, -1.0, -16.0
-0.234, -5.293, -3.398, 5.337, 8.714, 6.545, 4.974, -6.064, -14.354, 0.18, -5.808, -1.0, -16.0
-0.23, -5.322, -3.402, 5.339, 8.722, 6.621, 5.036, -6.072, -14.361, 0.18, -5.802, -1.0, -16.0
-0.226, -5.35, -3.407, 5.342, 8.73, 6.697, 5.098, -6.081, -14.368, 0.181, -5.797, -1.0, -16.0
-0.222, -5.379, -3.411, 5.344, 8.738, 6.774, 5.16, -6.09, -14.375, 0.181, -5.792, -1.0, -16.0
-0.218, -5.408, -3.415, 5.347, 8.746, 6.85, 5.222, -6.099, -14.382, 0.182, -5.787, -1.0, -16.0
-0.214, -5.437, -3.42, 5.349, 8.754, 6.926, 5.283, -6.108, -14.389, 0.182, -5.782, -1.0, -16.0
-0.21, -5.465, -3.424, 5.352, 8.762, 7.002, 5.345, -6.117, -14.396, 0.183, -5.777, -1.0, -16.0
-0.206, -5.494, -3.429, 5.355, 8.771, 7.078, 5.407, -6.126, -14.404, 0.183, -5.772, -1.0, -16.0
-0.202, -5.523, -3.433, 5.357, 8.779, 7.154, 5.469, -6.135, -14.411, 0.184, -5.766, -1.0, -16.0
-0.198, -5.552, -3.438, 5.36, 8.787, 7.23, 5.531, -6.144, -14.418, 0.184, -5.761, -1.0, -16.0
-0.194, -5.58, -3.442, 5.362, 8.795, 7.307, 5.593, -6.152, -14.425, 0.185, -5.756, -1.0, -16.0
-0.19, -5.609, -3.447, 5.365, 8.803, 7.383, 5.655, -6.161, -14.432, 0.185, -5.751, -1.0, -16.0
-0.186, -5.638, -3.451, 5.367, 8.811, 7.459, 5.717, -6.17, -14.439, 0.186, -5.746, -1.0, -16.0
-0.182, -5.667, -3.456, 5.37, 8.819, 7.535, 5.779, -6.179, -14.446, 0.186, -5.741, -1.0, -16.0
-0.178, -5.695, -3.46, 5.373, 8.827, 7.611, 5.841, -6.188, -14.453, 0.187, -5.736, -1.0, -16.0
-0.174, -5.724, -3.465, 5.375, 8.835, 7.687, 5.903, -6.197, -14.461, 0.187, -5.73, -1.0, -16.0
-0.17, -5.753, -3.469, 5.378, 8.843, 7.764, 5.965, -6.206, -14.468, 0.188, -5.725, -1.0, -16.0
-0.166, -5.782, -3.474, 5.38, 8.852, 7.84, 6.027, -6.215, -14.475, 0.188, -5.72, -1.0, -16.0
-0.162, -5.807, -3.479, 5.383, 8.859, 7.909, 6.069, -6.223, -14.489, 0.189, -5.715, -1.0, -16.0
-0.158, -5.831, -3.485, 5.385, 8.865, 7.977, 6.107, -6.231, -14.504, 0.189, -5.709, -1.0, -16.0
-0.154, -5.849, -3.492, 5.387, 8.87, 8.034, 6.115, -6.239, -14.53, 0.189, -5.703, -1.0, -16.0
-0.15, -5.858, -3.502, 5.388, 8.872, 8.072, 6.068, -6.245, -14.576, 0.19, -5.696, -1.0, -16.0
-0.146, -5.866, -3.512, 5.39, 8.874, 8.11, 6.02, -6.252, -14.621, 0.19, -5.689, -1.0, -16.0
-0.142, -5.874, -3.522, 5.391, 8.876, 8.148, 5.973, -6.258, -14.667, 0.19, -5.682, -1.0, -16.0
-0.138, -5.882, -3.532, 5.392, 8.878, 8.186, 5.926, -6.264, -14.712, 0.19, -5.675, -1.0, -16.0
-0.134, -5.891, -3.542, 5.394, 8.88, 8.224, 5.879, -6.271, -14.758, 0.191, -5.668, -1.0, -16.0
-0.13, -5.899, -3.552, 5.395, 8.882, 8.263, 5.832, -6.277, -14.803, 0.191, -5.661, -1.0, -16.0
-0.126, -5.907, -3.562, 5.396, 8.884, 8.301, 5.784, -6.283, -14.849, 0.191, -5.654, -1.0, -16.0
-0.122, -5.916, -3.572, 5.398, 8.886, 8.339, 5.737, -6.29, -14.894, 0.191, -5.648, -1.0, -16.0
-0.118, -5.924, -3.582, 5.399, 8.888, 8.377, 5.69, -6.296, -14.94, 0.191, -5.641, -1.0, -16.0
-0.114, -5.932, -3.592, 5.4, 8.889, 8.415, 5.643, -6.302, -14.985, 0.192, -5.634, -1.0, -16.0
-0.11, -5.94, -3.602, 5.402, 8.891, 8.453, 5.596, -6.309, -15.031, 0.192, -5.627, -1.0, -16.0
-0.106, -5.949, -3.612, 5.403, 8.893, 8.491, 5.548, -6.315, -15.076, 0.192, -5.62, -1.0, -16.0
-0.102, -5.957, -3.622, 5.404, 8.895, 8.529, 5.501, -6.322, -15.122, 0.192, -5.613, -1.0, -16.0
-0.098, -5.965, -3.632, 5.406, 8.897, 8.567, 5.454, -6.328, -15.167, 0.193, -5.606, -1.0, -16.0
-0.094, -5.973, -3.642, 5.407, 8.899, 8.605, 5.407, -6.334, -15.213, 0.193, -5.599, -1.0, -16.0
-0.09, -5.982, -3.652, 5.408, 8.901, 8.643, 5.36, -6.341, -15.258, 0.193, -5.592, -1.0, -16.0
-0.086, -5.99, -3.662, 5.41, 8.903, 8.681, 5.312, -6.347, -15.304, 0.193, -5.585, -1.0, -16.0
-0.082, -5.998, -3.671, 5.411, 8.905, 8.719, 5.265, -6.353, -15.349, 0.193, -5.578, -1.0, -16.0
-0.078, -6.006, -3.681, 5.412, 8.907, 8.758, 5.218, -6.36, -15.395, 0.194, -5.571, -1.0, -16.0
-0.074, -6.015, -3.691, 5.414, 8.909, 8.796, 5.171, -6.366, -15.44, 0.194, -5.564, -1.0, -16.0
-0.07, -6.023, -3.701, 5.415, 8.911, 8.834, 5.123, -6.372, -15.485, 0.194, -5.557, -1.0, -16.0
-0.066, -6.031, -3.711, 5.417, 8.912, 8.872, 5.076, -6.379, -15.531, 0.194, -5.55, -1.0, -16.0
-0.062, -6.039, -3.721, 5.418, 8.914, 8.91, 5.029, -6.385, -15.576, 0.194, -5.543, -1.0, -16.0
-0.058, -6.048, -3.731, 5.419, 8.916, 8.948, 4.982, -6.391, -15.622, 0.195, -5.536, -1.0, -16.0
-0.054, -6.054, -3.737, 5.42, 8.917, 8.978, 4.945, -6.396, -15.658, 0.195, -5.529, -1.0, -15.992
-0.05, -6.056, -3.734, 5.421, 8.915, 8.988, 4.932, -6.398, -15.67, 0.195, -5.522, -1.0, -15.964
-0.046, -6.058, -3.731, 5.421, 8.912, 8.998, 4.92, -6.4, -15.682, 0.195, -5.514, -1.0, -15.936
-0.042, -6.059, -3.725, 5.421, 8.909, 9.0, 4.917, -6.4, -15.684, 0.195, -5.507, -1.0, -15.9
-0.038, -6.059, -3.717, 5.421, 8.905, 9.0, 4.917, -6.4, -15.684, 0.195, -5.499, -1.0, -15.862
-0.034, -6.059, -3.71, 5.421, 8.901, 9.0, 4.917, -6.4, -15.684, 0.195, -5.492, -1.0, -15.824
-0.03, -6.059, -3.702, 5.421, 8.897, 9.0, 4.917, -6.4, -15.684, 0.195, -5.484, -1.0, -15.786
-0.026, -6.059, -3.694, 5.421, 8.894, 9.0, 4.917, -6.4, -15.684, 0.195, -5.476, -1.0, -15.747
-0.022, -6.059, -3.687, 5.421, 8.89, 9.0, 4.917, -6.4, -15.684, 0.195, -5.469, -1.0, -15.709
-0.018, -6.059, -3.679, 5.421, 8.886, 9.0, 4.917, -6.4, -15.684, 0.195, -5.461, -1.0, -15.671
-0.014, -6.059, -3.672, 5.421, 8.882, 9.0, 4.917, -6.4, -15.684, 0.195, -5.453, -1.0, -15.633
-0.01, -6.059, -3.664, 5.421, 8.878, 9.0, 4.917, -6.4, -15.684, 0.195, -5.446, -1.0, -15.595
-0.006, -6.059, -3.656, 5.421, 8.875, 9.0, 4.917, -6.4, -15.684, 0.195, -5.438, -1.0, -15.557
-0.002, -6.059, -3.649, 5.421, 8.871, 9.0, 4.917, -6.4, -15.684, 0.195, -5.431, -1.0, -15.519
0.002, -6.059, -3.641, 5.421, 8.867, 9.0, 4.917, -6.4, -15.684, 0.195, -5.423, -1.0, -15.481
0.006, -6.059, -3.633, 5.421, 8.863, 9.0, 4.917, -6.4, -15.684, 0.195, -5.415, -1.0, -15.443
0.01, -6.059, -3.626, 5.421, 8.859, 9.0, 4.917, -6.4, -15.684, 0.195, -5.408, -1.0, -15.405
0.014, -6.059, -3.618, 5.421, 8.856, 9.0, 4.917, -6.4, -15.684, 0.195, -5.4, -1.0, -15.367
0.018, -6.059, -3.611, 5.421, 8.852, 9.0, 4.917, -6.4, -15.684, 0.195, -5.393, -1.0, -15.329
0.022, -6.059, -3.603, 5.421, 8.848, 9.0, 4.917, -6.4, -15.684, 0.195, -5.385, -1.0, -15.291
0.026, -6.059, -3.595, 5.421, 8.844, 9.0, 4.917, -6.4, -15.684, 0.195, -5.377, -1.0, -15.253
0.03, -6.059, -3.588, 5.421, 8.84, 9.0, 4.917, -6.4, -15.684, 0.195, -5.37, -1.0, -15.214
0.034, -6.059, -3.58, 5.421, 8.837, 9.0, 4.917, -6.4, -15.684, 0.195, -5.362, -1.0, -15.176
0.038, -6.059, -3.573, 5.421, 8.833, 9.0, 4.917, -6.4, -15.684, 0.195, -5.354, -1.0, -15.138
0.042, -6.059, -3.565, 5.421, 8.829, 9.0, 4.917, -6.4, -15.684, 0.195, -5.347, -1.0, -15.1
0.046, -6.058, -3.559, 5.421, 8.824, 8.998, 4.919, -6.4, -15.682, 0.195, -5.34, -1.0, -15.062
0.05, -6.056, -3.556, 5.421, 8.817, 8.988, 4.93, -6.398, -15.67, 0.195, -5.336, -1.0, -15.024
0.054, -6.054, -3.554, 5.42, 8.81, 8.978, 4.94, -6.396, -15.658, 0.195, -5.332, -1.0, -14.986
0.058, -6.048, -3.563, 5.419, 8.795, 8.948, 4.971, -6.391, -15.622, 0.195, -5.335, -1.0, -14.948
0.062, -6.039, -3.575, 5.418, 8.778, 8.91, 5.011, -6.385, -15.576, 0.194, -5.34, -1.0, -14.91
0.066, -6.031, -3.588, 5.417, 8.761, 8.872, 5.051, -6.379, -15.531, 0.194, -5.346, -1.0, -14.872
0.07, -6.023, -3.601, 5.415, 8.744, 8.834, 5.09, -6.372, -15.485, 0.194, -5.352, -1.0, -14.834
0.074, -6.015, -3.614, 5.414, 8.727, 8.796, 5.13, -6.366, -15.44, 0.193, -5.358, -1.0, -14.796
0.078, -6.006, -3.627, 5.412, 8.71, 8.758, 5.169, -6.36, -15.395, 0.193, -5.363, -1.0, -14.758
0.082, -5.998, -3.64, 5.411, 8.693, 8.719, 5.209, -6.353, -15.349, 0.193, -5.369, -1.0, -14.719
0.086, -5.99, -3.653, 5.41, 8.675, 8.681, 5.249, -6.347, -15.304, 0.193, -5.375, -1.0, -14.681
0.09, -5.982, -3.666, 5.408, 8.658, 8.643, 5.288, -6.341, -15.258, 0.192, -5.381, -1.0, -14.643
0.094, -5.973, -3.678, 5.407, 8.641, 8.605, 5.328, -6.334, -15.213, 0.192, -5.386, -1.0, -14.605
0.098, -5.965, -3.691, 5.406, 8.624, 8.567, 5.367, -6.328, -15.167, 0.192, -5.392, -1.0, -14.567
0.102, -5.957, -3.704, 5.404, 8.607, 8.529, 5.407, -6.322, -15.122, 0.192, -5.398, -1.0, -14.529
0.106, -5.949, -3.717, 5.403, 8.59, 8.491, 5.447, -6.315, -15.076, 0.191, -5.404, -1.0, -14.491
