a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
0.61, -2.584, -3.599, 3.292, 5.849, 2.785, 2.632, -3.259, -9.929, 0.062, -5.014, -1.0, -9.54
0.614, -2.556, -3.563, 3.25, 5.802, 2.759, 2.639, -3.238, -9.888, 0.06, -4.988, -1.0, -9.483
0.618, -2.527, -3.528, 3.207, 5.755, 2.732, 2.645, -3.217, -9.847, 0.058, -4.963, -1.0, -9.426
0.622, -2.499, -3.493, 3.165, 5.708, 2.705, 2.651, -3.196, -9.806, 0.056, -4.937, -1.0, -9.369
0.626, -2.471, -3.458, 3.122, 5.661, 2.679, 2.658, -3.175, -9.765, 0.055, -4.911, -1.0, -9.312
0.63, -2.443, -3.423, 3.08, 5.615, 2.652, 2.664, -3.153, -9.724, 0.053, -4.886, -1.0, -9.255
0.634, -2.414, -3.388, 3.037, 5.568, 2.625, 2.67, -3.132, -9.683, 0.051, -4.86, -1.0, -9.197
0.638, -2.386, -3.352, 2.995, 5.521, 2.599, 2.677, -3.111, -9.643, 0.049, -4.834, -1.0, -9.14
0.642, -2.358, -3.317, 2.952, 5.474, 2.572, 2.683, -3.09, -9.602, 0.047, -4.808, -1.0, -9.083
0.646, -2.33, -3.282, 2.91, 5.427, 2.545, 2.689, -3.069, -9.561, 0.045, -4.783, -1.0, -9.026
0.65, -2.301, -3.247, 2.867, 5.38, 2.519, 2.696, -3.048, -9.52, 0.043, -4.757, -1.0, -8.969
0.654, -2.273, -3.212, 2.825, 5.333, 2.492, 2.702, -3.027, -9.479, 0.041, -4.731, -1.0, -8.912
0.658, -2.245, -3.177, 2.782, 5.286, 2.466, 2.708, -3.006, -9.438, 0.039, -4.706, -1.0, -8.855
0.662, -2.217, -3.142, 2.74, 5.239, 2.439, 2.715, -2.985, -9.397, 0.037, -4.68, -1.0, -8.798
0.666, -2.188, -3.106, 2.697, 5.192, 2.412, 2.721, -2.964, -9.356, 0.035, -4.654, -1.0, -8.74
0.67, -2.16, -3.071, 2.655, 5.146, 2.386, 2.727, -2.943, -9.315, 0.033, -4.629, -1.0, -8.683
0.674, -2.132, -3.036, 2.612, 5.099, 2.359, 2.734, -2.922, -9.274, 0.031, -4.603, -1.0, -8.626
0.678, -2.104, -3.002, 2.572, 5.048, 2.332, 2.734, -2.899, -9.229, 0.03, -4.58, -1.0, -8.565
0.682, -2.076, -2.972, 2.536, 4.987, 2.302, 2.715, -2.871, -9.17, 0.031, -4.564, -1.0, -8.492
0.686, -2.049, -2.942, 2.501, 4.926, 2.273, 2.697, -2.843, -9.112, 0.032, -4.548, -1.0, -8.419
0.69, -2.022, -2.917, 2.472, 4.85, 2.241, 2.653, -2.809, -9.036, 0.036, -4.543, -1.0, -8.33
0.694, -1.995, -2.895, 2.447, 4.769, 2.207, 2.601, -2.771, -8.953, 0.041, -4.541, -1.0, -8.234
0.698, -1.969, -2.872, 2.421, 4.688, 2.174, 2.548, -2.734, -8.871, 0.046, -4.539, -1.0, -8.139
0.702, -1.942, -2.849, 2.395, 4.607, 2.141, 2.496, -2.697, -8.788, 0.051, -4.538, -1.0, -8.044
0.706, -1.916, -2.826, 2.369, 4.526, 2.108, 2.443, -2.66, -8.705, 0.056, -4.536, -1.0, -7.949
0.71, -1.889, -2.803, 2.343, 4.446, 2.075, 2.39, -2.623, -8.623, 0.061, -4.534, -1.0, -7.854
